Afrikaans	Bengali	Czech	Danish	English	Esperanto	Finnish	Georgian	Hebrew	Italian	Portuguese	Russian	Swahili
		n o n k o n f o r m i s m u s		n o n c o n f o r m i s m				נ ו נ ק ו נ פ ו ר מ י ס ט	a n t i c o n f o r m i s m o			
				d i a s t e m a t i c					d i a s t e m a t i c o			
				d y n a m i s m		d y n a m i i k k a						
				b a r e		p e l k k ä			b a s i l a r e		е д в а ́   д о с т а ́ т о ч н ы й	
				l i f t		n o u s u						
				a n n e x	a n e k s o	l i i t e				a n e x o	п р и л о ж е ́ н и е	
				O r a n g e   R i v e r		{ { w				O r a n g e		
			D e n a l i	D e n a l i							М а к - К и ́ н л и	
		V i r g i n i e	V i r g i n i a	V i r g i n i a	V i r g i n i o	V i r g i n i a	ვ ი რ ჯ ი ნ ი ა			V i r g í n i a	В и р д ж и ́ н и я	
				A r e o p o l i						A r e ó p o l i		
				s c r e e c h		r ä ä k ä i s y					с к р е ́ ж е т	
		p o c h o d e ň	f a k k e l	t o r c h	t o r ĉ o	s o i h t u	ჩ ი რ ა ღ დ ა ნ ი	א ב ו ק ה	t o r c i a	t o c h a	ф а ́ к е л	m w e n g e
				k a p o k   t r e e		v a l k o k a p o k k i o						
		b a n a l i t a		b u m p e r   s t i c k e r		i s k u l a u s e						
		p i l i n y	s a v s m u l d	s a w d u s t	s e g a ĵ o	s a h a n p u r u	ნ ა ხ ე რ ხ ი		s e g a t u r a	s e r r a g e m	д р е в е ́ с н ы й   м у к а ́	
				c a l l i n g   c a r d		k ä y n t i k o r t t i					в и з и т н а я   к а р т о ч к а	
				c a s t a w a y		h y l k i ö					о т в е ́ р ж е н н ы й	
				p o m p o u s l y					p o m p o s a m e n t e			
		P l a t ó n		P l a t o		P l a t o n		א ַ פ ְ ּ ל ָ ט ו ֹ ן	P l a t o n e	P l a t ã o	П л а т о ́ н	
				l i n e								m s t a r i
			s i g n a l f l a g	f l a g		m e r k i n a n t o l i p p u						
				a n g i o g e n e s i s		a n g i o g e n e e s i			a n g i o g e n e s i	a n g i o g é n e s e		
		r o z ř í z n o u t	k l ø v e	c l e a v e		h a l k o a	გ ა კ ვ ე თ ა		f e n d e r e	t a l h a r	р а с с е ч ь	
				c o m m o n w e a l t h	k o m u n u m o			ק ה י ל י י ה		c o m u n i d a d e	с о ю ́ з	
g e v a a r	ব ি প দ	n e b e z p e č í	f a r e	d a n g e r	d a n ĝ e r o	u h k a	ს ა ფ რ თ ხ ე	ס ַ כ ָ ּ נ ָ ה	p e r i c o l o	p e r i g o	о п а ́ с н о с т ь	h a t a r i
				f e s t i v i t y		j u h l a m i e l i				f e s t i v i d a d e	в е с е ́ л ь е	
				t h i n k						p a r e c e r		
				w i l d f o w l		v e s i l i n t u						
				g a s l i g h t		k a a s u v a l o					г а ́ з о в о е   о с в е щ е ́ н и е	
	ম ু ফ ত ি			m u f t i		m u f t i		מ פ ת י	m u f t ì	m u f t i	м у ́ ф т и й	
		ú t o k		f o r w a r d   l i n e								
		b u l h a r s k ý	b u l g a r s k t	B u l g a r i a n		b u l g a r i a n k i e l i n e n	ბ უ ლ გ ა რ ე თ ი ს		b u l g a r o	b ú l g a r o	б о л г а ́ р с к и й	
				b l o o d   c o u n t		v e r e n k u v a						
				s u c c i n a t e		s u k k i n a a t t i						
		v õ r u š t i n a		V õ r o		v õ r o n   k i e l i					в ы р у ́ с к и й	
				p r o g r e s s i o n		e t e n e m i n e n						
				s y s t e m s   t h e o r y		s y s t e e m i t e o r i a						
				d u a l i t y		k a k s i n a i s u u s						
			o p p a s s e r	o r d e r l y		s o t i l a s p a l v e l i j a			a t t e n d e n t e		д е н щ и ́ к	
			k o r t h u s	h o u s e   o f   c a r d s		k o r t t i t a l o			c a s t e l l o   d i   c a r t e	c a s t e l o   d e   c a r t a s	к а ́ р т о ч н ы й   д о ́ м и к	
				f a c i l i t y		t a i t a v u u s			f a c i l i t à	f a c i l i d a d e	л о ́ в к о с т ь	
				c o m p u l s o r y   p u r c h a s e		p a k k o l u n a s t u s			e s p r o p r i a z i o n e   p e r   p u b b l i c a   u t i l i t à	d e s a p r o p r i a ç ã o		
		š k r t n o u t		g l a n c e		p o m p a t a						
				c o m e   a l o n g		r a u h o i t u						
		d u h o v k a	i r i s	i r i s		i i r i s	ფ ე რ ა დ ი   გ ა რ ს ი		i r i d e	í r i s	и ́ р и с	
				z o o l o g i c a l		e l ä i n t i e t e e l l i n e n				z o o l ó g i c o	ж и в о ́ т н ы й	
		m e g a f o n		m e g a p h o n e		m e g a f o n i				m e g a f o n e	р у ́ п о р	
		e u n u c h		e u n u c h	e ŭ n u k o	e u n u k k i		ס ָ ר ִ י ס	e u n u c o	e u n u c o	е ́ в н у х	
				f i r s t   i n   f i r s t   o u t							п е ́ р в ы м   п р и ш ё л   —   п е ́ р в ы м   у ш ё л	
				e n c o d e		k o o d a t a						
				c a t   g o t   s o m e o n e ' s   t o n g u e		v e i k ö   k i s s a   k i e l e s i ?			i l   g a t t o   t i   h a   m a n g i a t o   l a   l i n g u a ?	o   g a t o   c o m e u   s u a   l í n g u a	я з ы ́ к   п р о г л о т и ́ л и ?	
				s h o r t - t a i l e d   p a r r o t		t ö p ö a r a t t i			p a p p a g a l l o   c o d a c o r t a	c u r i c a - v e r d e		
				s a c r e d		u s k o n n o l l i n e n	ს ა ს უ ლ ი ე რ ო					
k o n s e n t r e e r		s o u s t ř e d i t		c o n c e n t r a t e		k e s k i t t y ä			c o n c e n t r a r e	c o n c e n t r a r	с о с р е д о т о ́ ч и т ь	
		k ů r a		c r u s t	k r u s t o	k u o r i			c r o s t a	c r o s t a	к о ́ р к а	
	ব ্ র া ত ি স ্ ল া ভ া	P r e š p u r k	B r a t i s l a v a	B r a t i s l a v a	B r a t i s l a v o	B r a t i s l a v a	ბ რ ა ტ ი ს ლ ა ვ ა	ב ר ט י ס ל א ב ה	B r a t i s l a v a	B r a t i s l a v a	Б р а т и с л а ́ в а	
				f a d		m u o t i			t e n d e n z a	m o d a	п р и ч у ́ д а	
				P r e - R a p h a e l i t e		p r e r a f a e l i i t t i						
				c h r o n o s t r a t i g r a p h i c						c r o n o s t r a t i g r á f i c o		
				c r u s h i n g							р а з р у ш е ́ н и е	
				a l l   t h e   t i m e		k a i k e n   a i k a a			s p e s s i s s i m o	o   t e m p o   t o d o	ч а ́ с т о	
				r e g u l a t o r					r e g o l a t o r e	r e g u l a d o r		
				t e a s e					p e t t i n a r e	p e n t e a r	н а ч ё с ы в а т ь	
				i b i s b i l l		i i b i s n o k k a					с е р п о к л ю ́ в	
				R o m a n l y						r o m a n a m e n t e		
				i s l e t	i n s u l e t o	l u o t o			i s o l e t t a	í n s u a	о с т р о в о ́ к	
		p a p u c h a l k	s ø p a p e g ø j e	p u f f i n		l u n n i			p u l c i n e l l a   d i   m a r e	p a p a g a i o - d o - m a r	т о п о ́ р и к	
				i d y l l i c a l l y					i d i l l i c a m e n t e		и д и л л и ́ ч е с к и	
				w r e s t l e		p a i n i o t t e l u						
		k o k o t		c o c k							п р и д у ́ р о к	
		o p t i k	o p t i k e r	o p t i c i a n	o p t i k i s t o	o p t i k k o				o c u l i s t a	о к у л и ́ с т к а	
				l a r k		k u j e i l l a						
				c h i l i   p o w d e r		c h i l i j a u h e						
				c u r s i v e		k a u n o k i r j o i t u s					к у р с и ́ в	
				a l m u c e					a l m u z i a			
			A u g u s t	A u g u s t u s		A u k u s t i			A u g u s t o	A u g u s t o		
				B e n g a l   f o x		b e n g a l i n k e t t u			v o l p e   i n d i a n a			m b w e h a   w a   B u n g a l a
				e b b   a n d   f l o w			მ ი ქ ც ე ვ - მ ო ქ ც ე ვ ა					
	ল া ও স	L a o s	L a o s	L a o s	L a o s o	L a o s	ლ ა ო ს ი	ל ָ א ו ֹ ס	L a o s	L a o s	Л а о ́ с	L a o s
			f r e m r a g e n d e	o u t s t a n d i n g	e l s t a r a	m e r k i t t ä v ä	შ ე ს ა ნ ი შ ნ ა ვ ი	ב ו ל ט	n o t e v o l e	d e s t a c a d o	з н а м е н и ́ т ы й	
	ম া ছ ি	m o u c h a	f l u e	f l y	m u ŝ o	k ä r p ä n e n	ბ უ ზ ი	ז ְ ב ו ּ ב	m o s c a	m o s c a	м у ́ х а	n z i
				t r u i n g							п р а ́ в к а	
				c a b l e   t e r m i n a l		k a a p e l i k e n k ä						
				k e l o i d a l						q u e l o i d a l		
		c h u l i g á n		h o o l i g a n	h u l i g a n o	h ä i r i k k ö	ხ უ ლ ი გ ა ნ ი	ח ו ּ ל ִ י ג ָ ן	h o o l i g a n	b a d e r n e i r o	з а б и я ́ к а	
				b l u e		p o r n o -		כ ָ ּ ח ו ֹ ל	a   l u c i   r o s s e	p r o f a n o		b l u u
				c a r n i v a l   g l a s s		s a t e e n k a a r i l a s i						
		p o s v á t n ý		s a c r e d		s i u n a t t u	წ მ ი ნ დ ა		s a c r o	s a c r o	с в я щ е ́ н н ы й	
				r i f f						r i f f	м о т и в	
				c o n s t r u e	i n t e r p r e t o					i n t e r p r e t a ç ã o	и с т о л к о в а ́ н и е	
		B a j k a l	B a j k a l s ø e n	B a i k a l		B a i k a l	ბ ა ი კ ა ლ ი			B a i c a l	Б а й к а ́ л	
p o l i s i e m a n	প ু ল ি শ	p o l i c i s t a	p o l i t i k v i n d e	p o l i c e   o f f i c e r	p o l i c a n o	k o n s t a a p e l i	პ ო ლ ი ც ი ე ლ ი	ש ׁ ו ֹ ט ֶ ר ֶ ת	u f f i c i a l e   d i   p o l i z i a	a g e n t e	п о л и ц а ́ й	a f i s a   w a   p o l i s i
		z k l i d n ě n í   m y s l i		r e c o l l e c t i o n								
				s q u a s h   r a c k e t		s q u a s h - m a i l a						
		p ř e v a ž u j í c í		p r e d o m i n a n t		v a l l i t s e v a					п р е о б л а д а ́ ю щ и й	
				R e t i c u l u m		V e r k k o					С е ́ т к а	
				p a s s i v a t e		p a s s i v o i d a			p a s s i v a r e			
				a m i n e r g i c						a m i n é r g i c o		
				V a l k e a k o s k i		V a l k e a k o s k i					В а л к е а к о с к и	
			i d i o s y n k r a t i s k	i d i o s y n c r a s y					f i s s a z i o n e	i d i o s s i n c r a s i a	и д и о с и н к р а з и ́ я	
				s c a p e		v a r s i						
				s e r p e n t i n i z a t i o n						s e r p e n t i n i z a ç ã o		
				h u s t l e		h u s t l e					х а с л	
		k r o k e v		r a f t e r	ĉ e v r o n o	p i i r u				t r a v e	б а ́ л к а	
		p o k u d		a s   f a r   a s		n i i n   p i t k ä ä n   k u i n			p e r   q u a n t o	a t é	п о с к о ́ л ь к у	
s p e l	খ ে ল া	h r a	s p i l	g a m e	l u d o	l e i k k i	თ ა მ ა შ ი	מ ִ ש ְ ׂ ח ָ ק	g i o c o	j o g o	и г р а ́	m c h e z o
				i o n i z e	j o n i g i	i o n i s o i d a			i o n i z z a r e			
				n a t i o n a l		k a n s a l a i n e n					г р а ж д а н и н	
				p e r s e c u t e		a h d i s t e l l a				p e r s e g u i r	д о с т а в а ́ т ь	
J a p a n n e e s		J a p o n k a	j a p a n e r e	J a p a n e s e	J a p a n i n o	j a p a n i l a i n e n	ი ა პ ო ნ ე ლ ი		g i a p p o n e s e	j a p o n e s a	я п о ́ н к а	M j a p a n i
				a q u e o u s		v e t i n e n				a q u o s o	в о д я н и ́ с т ы й	
				a r t i c u l a t o r						a r t i c u l a d o r		
				s t u r d y		v a n k k a			r o b u s t a	r o b u s t o	м о ́ щ н ы й	
				p u l l		p u l l						
				s c i n t i s c a n n e r					s c i n t i g r a f o			
				t a u r i n e	t a ŭ r i n o	t a u r i i n i					т а у р и ́ н	
		p ř e d -		p r e -	a n t a ŭ -	e s i -		ק ְ ד ַ ם	p r e -	p r e -	п р е -	
		t e n k ý		t h i n		o h u t	წ ვ რ ი ლ ი	ד ַ ּ ק	s o t t i l e	r a l o	т о ́ н к и й	
		D a v i d o v a   h v ě z d a	D a v i d s s t j e r n e	S t a r   o f   D a v i d	S t e l o   d e   D a v i d o	d a a v i d i n t ä h t i	დ ა ვ ი თ ი ს   ვ ა რ ს კ ვ ლ ა ვ ი	מ ָ ג ֵ ן   ד ָ ּ ו ִ ד	s t e l l a   d i   D a v i d	e s t r e l a - d e - d a v i	м о г е н д о ́ в и д	
				s e s s i l e					s e s s i l e	s é s s i l		
				M u r r a y - D a r l i n g   B a s i n		M u r r a y - D a r l i n g - j o k i a l u e				B a c i a   M u r r a y - D a r l i n g		
		B a š k i r		B a s h k i r		b a š k i i r i			b a s c h i r o	b a c h q u i r	б а ш к и ́ р к а	
				c a m e					v e n u t o			
				d e v o i d			რ ა მ ი ს გ ა ნ   დ ა ც ლ ი ლ ი	ח ס ר	s e n z a	d e s p r o v i d o	п о р о ́ ж н и й	
				c a t c a l l							о с в и с т ы в а н и е	
				l e a s e h o l d e r		v u o k r a l a i n e n						
				a u t o m o t i v e						a u t o m o t i v o	с а м о х о ́ д н ы й	
				a b o v e		y l i		מ ע ל		a c i m a   d e	с в ы ́ ш е	
		š a š l i k		s h a s h l i k	ŝ a ŝ l i k o	s a s l i k	მ წ ვ ა დ ი	ש י ש ל י ק	s h a s h l i k	c h a c h l i k	ш и ш - к е б а ́ б	
	ব ি দ ্ য া ন			b r a i n		ä l y k k ö				c r â n i o		b o n g o
		t r o j s k ý   k ů ň	t r o j a n e r	T r o j a n		t r o i j a l a i n e n						
				L a p l a c e   t r a n s f o r m		L a p l a c e - m u u n n o s				t r a n s f o r m a ç ã o   d e   L a p l a c e	п р е о б р а з о в а ́ н и е   Л а п л а ́ с а	
			s u k k e r v a n d	s u g a r   w a t e r				מ י   ס ו כ ר				
				l i q u i d a t o r		s e l v i t y s m i e s				l i q u i d a d o r		
v e r b o d e   t e   r o o k		z á k a z   k o u ř e n í	r y g n i n g   f o r b u d t	n o   s m o k i n g	m a l p e r m e s i   f u m i		მ ო წ ე ვ ა   ა კ რ ძ ა ლ უ ლ ი ა	ל א   ל ע ש ן	v i e t a t o   f u m a r e	é   p r o i b i d o   f u m a r	в о с п р е щ а ́ е т с я   к у р и ́ т ь	h a k u n a   k u v u t a   s i g a r a
				e x c i s e   t a x		v a l m i s t e v e r o			a c c i s a	i m p o s t o   d e   c o n s u m o	а к ц и ́ з	
		k r á t e r		c r a t e r		k r a a t t e r i			c r a t e r e	c r a t e r a	ж е р л о ́	
				o b l i q u e		h ä m ä r ä p e r ä i n e n			o b l i q u o		н е п р я м о ́ й	
				s e v e r e d						c o r t a d o		
		n e n a p a d n u t e l n ý		u n a s s a i l a b l e						i n c o n t e s t á v e l	н е о п р о в е р ж и ́ м ы й	
			g u d g i v e n	G o d - g i v e n							б о ́ г о м   д а ́ н н ы й	
				c h o p	h a k o	i s k u			c o l p o   d ' a s c i a	t a l h a d a		
				e x u d e		t i h k u t t a a			t r a s u d a r e	e x s u d a r	в ы д е л я ́ т ь с я	
		p r o s t a t i t i d a		p r o s t a t i t i s						p r o s t a t i t e	п р о с т а т и ́ т	
				f o r t y - f i r s t		n e l j ä s k y m m e n e s e n s i m m ä i n e n			q u a r a n t u n e s i m o	q u a d r a g é s i m o   p r i m e i r o		
				s p e l e o t h e r a p y							с п е л е о л е ч е н и е	
			b e n p o r c e l æ n	b o n e   c h i n a								
				h o n e s t		r e h e l l i n e n						
				T u r i n e s e	t o r i n a n i n o	t o r i n o l a i n e n			t o r i n e s e	t u r i n e s a	т у р и ́ н к а	
				s p o i l e r		s p o i l e r i			a l e t t o n e	a e r o f ó l i o	а н т и к р ы л о ́	
				n u n a t i o n						n u n a ç ã o	н у н а ́ ц и я	
				f r e e s t y l e   s k i i n g		f r e e s t y l e h i i h t o						
		z a d o p a t r o v ý		b a c k		t a k a -		א ח ו ר י	p o s t e r i o r e	p o s t e r i o r		
				d y s b i o s i s		d y s b i o o s i						
				a n t i c o l o n i a l i s m			ა ნ ტ ი კ ო ლ ო ნ ი ა ლ ი ზ მ ი		a n t i c o l o n i a l i s m o	a n t i c o l o n i a l i s m o		
		p o d		w i t h i n					e n t r o	d e n t r o   d e		
				e d a p h o l o g y					e d a f o l o g i a			
				f l u k e		a n k k u r i n k o u r a						
			s v i n d e l n u m m e r	s k u l d u g g e r y		p e t o s				t r a p a ç a	ж у ́ л ь н и ч е с т в о	
		v š e v ě d o u c í	a l v i d e n d e	o m n i s c i e n t	ĉ i o s c i a	k a i k k i t i e t ä v ä			o n n i s c i e n t e	o n i s c i e n t e	в с е з н а ́ ю щ и й	
				F r a n c o p h o n i e						f r a n c o f o n i a		
				c o m m u t e		t y ö m a t k a						
				f r u i t   j u i c e	f r u k t o s u k o	h e d e l m ä m e h u			s u c c o   d i   f r u t t a		ф р у к т о ́ в ы й   с о к	
				f l o a t i n g		k e l l u v a						
				w o r d s t e r	v o r t a r i s t o							
				p e r s o n a l   i n j u r y		h e n k i l ö v a h i n k o						
	প ্ র ম া ণ	d ů k a z	b e v i s	e v i d e n c e	e v i d e n t e c o	t o d i s t e			p r o v a	p r o v a	с в и д е ́ т е л ь с т в о	
