Orthography	Segments
A B D U C T	æ b d ʌ k t
A B D U C T E D	æ b d ʌ k t ɪ d
A B D U C T E D	ʌ b d ʌ k t ɪ d
A B D U C T E E	æ b d ʌ k t i
A B D U C T E E S	æ b d ʌ k t i z
A B D U C T I N G	æ b d ʌ k t ɪ ŋ
A B D U C T I N G	ʌ b d ʌ k t ɪ ŋ
A B D U C T I O N	æ b d ʌ k ʃ ʌ n
A B D U C T I O N	ʌ b d ʌ k ʃ ʌ n
A B D U C T I O N S	æ b d ʌ k ʃ ʌ n z
A B D U C T I O N S	ʌ b d ʌ k ʃ ʌ n z
A B D U C T O R	æ b d ʌ k t ɝ
A B D U C T O R	ʌ b d ʌ k t ɝ
A B D U C T O R S	æ b d ʌ k t ɝ z
A B D U C T O R S	ʌ b d ʌ k t ɝ z
A B D U C T S	æ b d ʌ k t s
A B D U L	æ b d u l
A B D U L A Z I Z	æ b d u l ʌ z i z
A B D U L L A	ɑ b d u l ʌ
A B D U L L A H	æ b d ʌ l ʌ
A B E	eɪ b
A B E D	ʌ b ɛ d
A B E D I	ʌ b ɛ d i
A B E E	ʌ b i
A B E L	eɪ b ʌ l
A B E L A	ɑ b ɛ l ʌ
A B E L A R D	æ b ɪ l ɝ d
A B E L E	ʌ b ɛ l
A B E L E S	ʌ b ɛ l z
A B E L E S	eɪ b ʌ l i z
A B E L L	eɪ b ʌ l
A B E L L A	ʌ b ɛ l ʌ
A B E L N	æ b ɪ l n
A B E L O W	æ b ʌ l oʊ
A B E L S	eɪ b ʌ l z
A B E L S O N	æ b ɪ l s ʌ n
A B E N D	æ b ɛ n d
A B E N D	ʌ b ɛ n d
A B E N D R O T H	æ b ɪ n d ɹ ɔ θ
A B E R	eɪ b ɝ
A B E R C R O M B I E	æ b ɝ k ɹ ɑ m b i
A B E R D E E N	æ b ɝ d i n
A B E R F O R D	eɪ b ɝ f ɝ d
A B E R G	æ b ɝ ɡ
A B E R L E	æ b ɝ ʌ l
A B E R L E	æ b ɝ l
A B E R M I N	æ b ɝ m ɪ n
A B E R N A T H Y	æ b ɝ n æ θ i
A B E R N E T H Y	æ b ɝ n ɛ θ i
A B E R R A N T	æ b ɛ ɹ ʌ n t
A B E R R A T I O N	æ b ɝ eɪ ʃ ʌ n
A B E R R A T I O N A L	æ b ɝ eɪ ʃ ʌ n ʌ l
A B E R R A T I O N S	æ b ɝ eɪ ʃ ʌ n z
A B E R T	æ b ɝ t
A B E T	ʌ b ɛ t
A B E T T E D	ʌ b ɛ t ɪ d
A B E T T I N G	ʌ b ɛ t ɪ ŋ
A B E X	eɪ b ɛ k s
A B E Y A N C E	ʌ b eɪ ʌ n s
A B E Y T A	ɑ b eɪ t ʌ
A B H O R	æ b h ɔ ɹ
A B H O R R E D	ʌ b h ɔ ɹ d
A B H O R R E N C E	ʌ b h ɔ ɹ ʌ n s
A B H O R R E N T	æ b h ɔ ɹ ʌ n t
A B H O R S	ʌ b h ɔ ɹ z
A B I A M	eɪ b i ʌ m
A B I A M S	eɪ b i ʌ m z
A B I D	eɪ b ɪ d
A B I D E	ʌ b aɪ d
A B I D E D	ʌ b aɪ d ɪ d
A B I D E S	ʌ b aɪ d z
A B I D I N G	ʌ b aɪ d ɪ ŋ
A B I D J A N	æ b ɪ dʒ ɑ n
A B I E	æ b i
A B I G A I L	æ b ʌ ɡ eɪ l
A B I L A	ɑ b i l ʌ
A B I L E N E	æ b ɪ l i n
A B I L I T I E S	ʌ b ɪ l ʌ t i z
A B I L I T Y	ʌ b ɪ l ʌ t i
A B I M A E L	æ b ɪ m eɪ l
A B I M A E L S	æ b ɪ m eɪ l z
A B I N G D O N	æ b ɪ ŋ d ʌ n
A B I N G T O N	æ b ɪ ŋ t ʌ n
A B I O	ɑ b i oʊ
A B I O L A	ɑ b i oʊ l ʌ
A B I O L A S	ɑ b i oʊ l ʌ z
A B I O M E D	eɪ b i ʌ m ɛ d
A B I Q U I U	ʌ b ɪ k j u
A B I T I B I	æ b ɪ t i b i
A B I T Z	æ b ɪ t s
A B J E C T	æ b dʒ ɛ k t
A B K H A Z I A	æ b k ɑ z j ʌ
A B K H A Z I A	æ b k æ z j ʌ
A B K H A Z I A N	æ b k ɑ z i ʌ n
A B K H A Z I A N	æ b k æ z i ʌ n
A B K H A Z I A N	æ b k ɑ z j ʌ n
A B K H A Z I A N	æ b k æ z j ʌ n
A B K H A Z I A N S	æ b k ɑ z i ʌ n z
A B K H A Z I A N S	æ b k æ z i ʌ n z
A B L A T E	ʌ b l eɪ t
A B L A T I O N	ʌ b l eɪ ʃ ʌ n
A B L A Z E	ʌ b l eɪ z
A B L E	eɪ b ʌ l
A B L E B O D I E D	eɪ b ʌ l b ɑ d i d
A B L E D	eɪ b ʌ l d
A B L E R	eɪ b ʌ l ɝ
A B L E R	eɪ b l ɝ
A B L E S	eɪ b ʌ l z
A B L E S T	eɪ b ʌ l s t
A B L E S T	eɪ b l ʌ s t
A B L O O M	ʌ b l u m
A B L U T I O N	ʌ b l u ʃ ʌ n
A B L U T I O N S	ʌ b l u ʃ ʌ n z
A B L Y	eɪ b l i
A B N E G A T I O N	æ b n ɛ ɡ eɪ ʃ ʌ n
A B N E R	æ b n ɝ
A B N E Y	æ b n i
A B N O R M A L	æ b n ɔ ɹ m ʌ l
A B N O R M A L I T I E S	æ b n ɔ ɹ m æ l ʌ t i z
A B N O R M A L I T Y	æ b n ɔ ɹ m æ l ʌ t i
A B N O R M A L L Y	æ b n ɔ ɹ m ʌ l i
A B O	ɑ b oʊ
A B O S	ɑ b oʊ z
A B O A R D	ʌ b ɔ ɹ d
A B O D E	ʌ b oʊ d
A B O H A L I M A	æ b ʌ h ʌ l i m ʌ
A B O L I S H	ʌ b ɑ l ɪ ʃ
A B O L I S H E D	ʌ b ɑ l ɪ ʃ t
A B O L I S H E S	ʌ b ɑ l ɪ ʃ ɪ z
A B O L I S H I N G	ʌ b ɑ l ɪ ʃ ɪ ŋ
A B O L I T I O N	æ b ʌ l ɪ ʃ ʌ n
A B O L I T I O N I S M	æ b ʌ l ɪ ʃ ʌ n ɪ z ʌ m
A B O L I T I O N I S T	æ b ʌ l ɪ ʃ ʌ n ʌ s t
A B O L I T I O N I S T S	æ b ʌ l ɪ ʃ ʌ n ʌ s t s
A B O L I T I O N I S T S	æ b ʌ l ɪ ʃ ʌ n ʌ s
A B O M I N A B L E	ʌ b ɑ m ʌ n ʌ b ʌ l
A B O M I N A T I O N	ʌ b ɑ m ʌ n eɪ ʃ ʌ n
A B O M I N A T I O N S	ʌ b ɑ m ʌ n eɪ ʃ ʌ n z
A B O O D	ʌ b u d
A B O O D I	ʌ b u d i
A B O R	ʌ b ɔ ɹ
A B O R I G I N A L	æ b ɝ ɪ dʒ ʌ n ʌ l
A B O R I G I N E	æ b ɝ ɪ dʒ ʌ n i
A B O R I G I N E S	æ b ɝ ɪ dʒ ʌ n i z
A B O R N	ʌ b ɔ ɹ n
A B O R T	ʌ b ɔ ɹ t
A B O R T E D	ʌ b ɔ ɹ t ɪ d
A B O R T I F A C I E N T	ʌ b ɔ ɹ t ʌ f eɪ ʃ ʌ n t
A B O R T I F A C I E N T S	ʌ b ɔ ɹ t ʌ f eɪ ʃ ʌ n t s
A B O R T I N G	ʌ b ɔ ɹ t ɪ ŋ
A B O R T I O N	ʌ b ɔ ɹ ʃ ʌ n
A B O R T I O N I S T	ʌ b ɔ ɹ ʃ ʌ n ɪ s t
A B O R T I O N I S T S	ʌ b ɔ ɹ ʃ ʌ n ɪ s t s
A B O R T I O N I S T S	ʌ b ɔ ɹ ʃ ʌ n ɪ s
A B O R T I O N S	ʌ b ɔ ɹ ʃ ʌ n z
A B O R T I V E	ʌ b ɔ ɹ t ɪ v
A B O R T S	ʌ b ɔ ɹ t s
A B O T T	ʌ b ɑ t
A B O U	ʌ b u
A B O U D	ɑ b u d
A B O U H A L I M A	ɑ b u h ɑ l i m ʌ
A B O U H A L I M A S	ɑ b u h ɑ l i m ʌ z
A B O U N D	ʌ b aʊ n d
A B O U N D E D	ʌ b aʊ n d ɪ d
A B O U N D I N G	ʌ b aʊ n d ɪ ŋ
A B O U N D S	ʌ b aʊ n d z
A B O U T	ʌ b aʊ t
A B O U T S	ʌ b aʊ t s
A B O V E	ʌ b ʌ v
A B O V E S	ʌ b ʌ v z
A B O V E B O A R D	ʌ b ʌ v b ɔ ɹ d
A B P L A N A L P	æ b p l ʌ n æ l p
A B R A	ɑ b ɹ ʌ
A B R A C A D A B R A	æ b ɹ ʌ k ʌ d æ b ɹ ʌ
A B R A D E	æ b ɹ eɪ d
A B R A D E D	æ b ɹ eɪ d ɪ d
A B R A D E S	æ b ɹ eɪ d z
A B R A H A M	eɪ b ɹ ʌ h æ m
A B R A H A M I A N	æ b ɹ ʌ h eɪ m i ʌ n
A B R A H A M S	eɪ b ɹ ʌ h æ m z
A B R A H A M S E N	æ b ɹ ʌ h æ m s ʌ n
A B R A H A M S O N	ʌ b ɹ æ h ʌ m s ʌ n
A B R A M	ʌ b ɹ æ m
A B R A M S	eɪ b ɹ ʌ m z
A B R A M C Z Y K	ɑ b ɹ ʌ m tʃ ɪ k
A B R A M O	ɑ b ɹ ɑ m oʊ
A B R A M O V I T Z	ʌ b ɹ ɑ m ʌ v ɪ t s
A B R A M O W I C Z	ʌ b ɹ ɑ m ʌ v ɪ tʃ
A B R A M O W I T Z	ʌ b ɹ ɑ m ʌ w ɪ t s
A B R A M S	eɪ b ɹ ʌ m z
A B R A M S S	eɪ b ɹ ʌ m z ɪ z
A B R A M S O N	eɪ b ɹ ʌ m s ʌ n
A B R A S I O N	ʌ b ɹ eɪ ʒ ʌ n
A B R A S I O N S	ʌ b ɹ eɪ ʒ ʌ n z
A B R A S I V E	ʌ b ɹ eɪ s ɪ v
A B R A S I V E S	ʌ b ɹ eɪ s ɪ v z
A B R A X A	ʌ b ɹ æ k s ʌ
A B R A X A S	ʌ b ɹ æ k s ʌ z
A B R A X A S	ʌ b ɹ æ k s ʌ z
A B R E A S T	ʌ b ɹ ɛ s t
A B R E G O	ɑ b ɹ ɛ ɡ oʊ
A B R E U	ʌ b ɹ u
A B R I D G E	ʌ b ɹ ɪ dʒ
A B R I D G E D	ʌ b ɹ ɪ dʒ d
A B R I D G E M E N T	ʌ b ɹ ɪ dʒ m ʌ n t
A B R I D G E S	ʌ b ɹ ɪ dʒ ʌ z
A B R I D G I N G	ʌ b ɹ ɪ dʒ ɪ ŋ
A B R I L	ʌ b ɹ ɪ l
A B R O A D	ʌ b ɹ ɔ d
A B R O G A T E	æ b ɹ ʌ ɡ eɪ t
A B R O G A T E D	æ b ɹ ʌ ɡ eɪ t ɪ d
A B R O G A T I N G	æ b ɹ ʌ ɡ eɪ t ɪ ŋ
A B R O G A T I O N	æ b ɹ ʌ ɡ eɪ ʃ ʌ n
A B R O L	ʌ b ɹ oʊ l
A B R O N	ʌ b ɹ ɑ n
A B R U P T	ʌ b ɹ ʌ p t
A B R U P T L Y	ʌ b ɹ ʌ p t l i
A B R U P T N E S S	ʌ b ɹ ʌ p t n ʌ s
A B R U T Y N	eɪ b ɹ u t ɪ n
A B R U Z Z E S E	ɑ b ɹ u t s eɪ z i
A B R U Z Z O	ɑ b ɹ u z oʊ
A B S	eɪ b i ɛ s
A B S	æ b z
A B S A L O M	æ b s ʌ l ʌ m
A B S A R A K A	æ b s ɑ ɹ ʌ k ʌ
A B S C A M	æ b s k æ m
A B S C E S S	æ b s ɛ s
A B S C O N D	æ b s k ɑ n d
A B S C O N D E D	æ b s k ɑ n d ɪ d
A B S C O N D I N G	æ b s k ɑ n d ɪ ŋ
A B S C O N D S	æ b s k ɑ n d z
A B S E C O N	æ b s ʌ k ɔ n
A B S E N C E	æ b s ʌ n s
A B S E N C E S	æ b s ʌ n s ɪ z
A B S E N T	æ b s ʌ n t
A B S E N T E E	æ b s ʌ n t i
A B S E N T E E I S M	æ b s ʌ n t i ɪ z ʌ m
A B S E N T E E S	æ b s ʌ n t i z
A B S E N T I A	æ b s ɛ n ʃ ʌ
A B S H E R	æ b ʃ ɝ
A B S H I E R	æ b ʃ i ɝ
A B S H I R E	æ b ʃ aɪ ɹ
A B S I N T H E	æ b s ɪ n θ
A B S O	æ b s oʊ
A B S O L O M	æ b s ʌ l ʌ m
A B S O L U T	æ b s ʌ l u t
A B S O L U T S	æ b s ʌ l u t s
A B S O L U T E	æ b s ʌ l u t
A B S O L U T E L Y	æ b s ʌ l u t l i
A B S O L U T E N E S S	æ b s ʌ l u t n ʌ s
A B S O L U T E S	æ b s ʌ l u t s
A B S O L U T I O N	æ b s ʌ l u ʃ ʌ n
A B S O L U T I S M	æ b s ʌ l u t ɪ z ʌ m
A B S O L U T I S T	æ b s ʌ l u t ɪ s t
A B S O L V E	ʌ b z ɑ l v
A B S O L V E	æ b z ɑ l v
A B S O L V E D	ʌ b z ɑ l v d
A B S O L V E D	æ b z ɑ l v d
A B S O L V E S	ʌ b z ɑ l v z
A B S O L V E S	æ b z ɑ l v z
A B S O L V I N G	ʌ b z ɑ l v ɪ ŋ
A B S O L V I N G	æ b z ɑ l v ɪ ŋ
A B S O R B	ʌ b z ɔ ɹ b
A B S O R B E D	ʌ b z ɔ ɹ b d
A B S O R B E N C Y	ʌ b z ɔ ɹ b ʌ n s i
A B S O R B E N T	ʌ b z ɔ ɹ b ʌ n t
A B S O R B E R	ʌ b z ɔ ɹ b ɝ
A B S O R B E R S	ʌ b z ɔ ɹ b ɝ z
A B S O R B I N G	ʌ b z ɔ ɹ b ɪ ŋ
A B S O R B S	ʌ b z ɔ ɹ b z
A B S O R P T I O N	ʌ b z ɔ ɹ p ʃ ʌ n
A B S O R P T I O N	ʌ b s ɔ ɹ p ʃ ʌ n
A B S T A I N	ʌ b s t eɪ n
A B S T A I N	æ b s t eɪ n
A B S T A I N E D	ʌ b s t eɪ n d
A B S T A I N E D	æ b s t eɪ n d
A B S T A I N I N G	ʌ b s t eɪ n ɪ ŋ
A B S T A I N I N G	æ b s t eɪ n ɪ ŋ
A B S T E N T I O N	ʌ b s t ɛ n tʃ ʌ n
A B S T E N T I O N	æ b s t ɛ n tʃ ʌ n
A B S T E N T I O N S	ʌ b s t ɛ n tʃ ʌ n z
A B S T E N T I O N S	æ b s t ɛ n tʃ ʌ n z
A B S T I N E N C E	æ b s t ʌ n ʌ n s
A B S T I N E N T	æ b s t ʌ n ʌ n t
A B S T O N	æ b s t ʌ n
A B S T R A C T	æ b s t ɹ æ k t
A B S T R A C T	æ b s t ɹ æ k t
A B S T R A C T E D	æ b s t ɹ æ k t ɪ d
A B S T R A C T I O N	æ b s t ɹ æ k ʃ ʌ n
A B S T R A C T I O N S	æ b s t ɹ æ k ʃ ʌ n z
A B S T R A C T S	æ b s t ɹ æ k t s
A B S T R U S E	ʌ b s t ɹ u s
A B S U R D	ʌ b s ɝ d
A B S U R D I S T	ʌ b s ɝ d ɪ s t
A B S U R D I T I E S	ʌ b s ɝ d ʌ t i z
A B S U R D I T Y	ʌ b s ɝ d ʌ t i
A B S U R D L Y	ʌ b s ɝ d l i
A B T	æ b t
A B T	eɪ b i t i
A B T S	æ b t s
A B T S	eɪ b i t i z
A B T S	eɪ b i t i ɛ s
A B U	æ b u
A B U D R A H M	ʌ b ʌ d ɹ ʌ m
A B U E L L A H	ʌ b w ɛ l ʌ
A B U E L L A H S	ʌ b w ɛ l ʌ z
A B U L A D Z E	æ b j u l æ d z i
A B U N D A N C E	ʌ b ʌ n d ʌ n s
A B U N D A N T	ʌ b ʌ n d ʌ n t
A B U N D A N T L Y	ʌ b ʌ n d ʌ n t l i
A B U R T O	ʌ b ʊ ɹ t oʊ
A B U R T O S	ʌ b ʊ ɹ t oʊ z
A B U S E	ʌ b j u s
A B U S E	ʌ b j u z
A B U S E D	ʌ b j u z d
A B U S E R	ʌ b j u z ɝ
A B U S E R S	ʌ b j u z ɝ z
A B U S E S	ʌ b j u s ɪ z
A B U S E S	ʌ b j u z ɪ z
A B U S I N G	ʌ b j u z ɪ ŋ
A B U S I V E	ʌ b j u s ɪ v
A B U T	ʌ b ʌ t
A B U T S	ʌ b ʌ t s
A B U T T E D	ʌ b ʌ t ɪ d
A B U T T I N G	ʌ b ʌ t ɪ ŋ
A B U Z Z	ʌ b ʌ z
A B Y S M A L	ʌ b ɪ z m ʌ l
A B Y S M A L L Y	ʌ b ɪ z m ʌ l i
A B Y S S	ʌ b ɪ s
A B Y S S I N I A	æ b s ɪ n i ʌ
A B Y S S I N I A N	æ b s ɪ n i ʌ n
A B Z U G	æ b z ʌ ɡ
A B Z U G	æ b z ʊ ɡ
A C	eɪ s i
A C A	æ k ʌ
A C A C I A	ʌ k eɪ ʃ ʌ
A C A D E M E	æ k ʌ d i m
A C A D E M I A	æ k ʌ d i m i ʌ
A C A D E M I C	æ k ʌ d ɛ m ɪ k
A C A D E M I C A L L Y	æ k ʌ d ɛ m ɪ k l i
A C A D E M I C I A N	æ k ʌ d ʌ m ɪ ʃ ʌ n
A C A D E M I C I A N S	æ k ʌ d ʌ m ɪ ʃ ʌ n z
A C A D E M I C I A N S	ʌ k æ d ʌ m ɪ ʃ ʌ n z
A C A D E M I C S	æ k ʌ d ɛ m ɪ k s
A C A D E M I E S	ʌ k æ d ʌ m i z
A C A D E M Y	ʌ k æ d ʌ m i
A C A D E M Y S	ʌ k æ d ʌ m i z
A C A D I A	ʌ k eɪ d i ʌ
A C A M P O	ʌ k ɑ m p oʊ
A C A M P O R A	ʌ k æ m p ɝ ʌ
A C A M P S I A	ʌ k æ m p s j ʌ
A C A N T H A	ɑ k ɑ n ð ʌ
A C A P U L C O	æ k ʌ p ʊ l k oʊ
A C A R Y	æ k ɝ i
A C C	aɪ s i s i
A C C A R D I	ɑ k ɑ ɹ d i
A C C A R D O	ɑ k ɑ ɹ d oʊ
A C C E D E	æ k s i d
A C C E D E D	æ k s i d ɪ d
A C C E D E S	æ k s i d z
A C C E D I N G	æ k s i d ɪ ŋ
A C C E L	ʌ k s ɛ l
A C C E L E R A N T	æ k s ɛ l ɝ ʌ n t
A C C E L E R A N T S	æ k s ɛ l ɝ ʌ n t s
A C C E L E R A T E	æ k s ɛ l ɝ eɪ t
A C C E L E R A T E D	æ k s ɛ l ɝ eɪ t ɪ d
A C C E L E R A T E S	æ k s ɛ l ɝ eɪ t s
A C C E L E R A T I N G	æ k s ɛ l ɝ eɪ t ɪ ŋ
A C C E L E R A T I O N	æ k s ɛ l ɝ eɪ ʃ ʌ n
A C C E L E R A T O R	æ k s ɛ l ɝ eɪ t ɝ
A C C E L E R A T O R S	æ k s ɛ l ɝ eɪ t ɝ z
A C C E L E R O M E T E R	æ k s ɛ l ɝ ɑ m ʌ t ɝ
A C C E L E R O M E T E R S	æ k s ɛ l ɝ ɑ m ʌ t ɝ z
A C C E N T	ʌ k s ɛ n t
A C C E N T	æ k s ɛ n t
A C C E N T E D	æ k s ɛ n t ɪ d
A C C E N T I N G	æ k s ɛ n t ɪ ŋ
A C C E N T S	æ k s ɛ n t s
A C C E N T U A T E	æ k s ɛ n tʃ u eɪ t
A C C E N T U A T E D	æ k s ɛ n tʃ u eɪ t ɪ d
A C C E N T U A T E S	æ k s ɛ n tʃ u eɪ t s
