Orthography	Segments
B A R G E R O N	b ɑ ɹ ɡ ɝ ʌ n
B A R T	b ɑ ɹ t
B A S I N G	b eɪ s ɪ ŋ
B A S T A R A C H E	b ɑ s t ɑ ɹ eɪ k
B A U G H N	b ɔ n
B A Y B A N K S	b eɪ b æ ŋ k s
B A Z O O K A S	b ʌ z u k ʌ z
B E A L S	b i l z
B E A M O N	b i m ʌ n
B E A R Y	b ɪ ɹ i
B E D O Y A	b eɪ d ɔɪ ʌ
B E D R O O M S	b ɛ d ɹ u m z
B E D S I D E	b ɛ d s aɪ d
B E H R E N D S	b ɛ ɹ ɛ n d z
B E I E R L E	b aɪ ɝ ʌ l
B E I L	b i l
B E L E F I V I L L E	b ʌ l ɛ f ʌ v ɪ l
B E L S E R	b ɛ l s ɝ
B E N F E R	b ɛ n f ɝ
B E N I G H T S	b i n aɪ t s
B E R W A N G E R	b ɝ w ɔ ŋ ɝ
B E T T E R M E N T	b ɛ t ɝ m ʌ n t
B I C K L E R	b ɪ k l ɝ
B I L I N G U A L I S M	b aɪ l ɪ ŋ ɡ w ʌ l ɪ z ʌ m
B I R D Y	b ɝ d i
B L A S C H K E	b l æ ʃ k
B L E A	b l i
B L O C K I N G	b l ɑ k ɪ ŋ
B L U F F S	b l ʌ f s
B O B E K	b oʊ b ɪ k
B O D Y S	b ɑ d i z
B O E S E L	b oʊ s ʌ l
B O G D A N O W I C Z	b ʌ ɡ d æ n ʌ w ɪ tʃ
B O N A D I O	b oʊ n ɑ d i oʊ
B O S E M A N	b oʊ s m ʌ n
B O T T L E R S	b ɑ t l ɝ z
B O U C H E R	b aʊ tʃ ɝ
B R A N D E	b ɹ æ n d
B R A N S T A D	b ɹ æ n s t æ d
B R E A U	b ɹ oʊ
B R E I T E N B A C H	b ɹ aɪ t ɪ n b ɑ k
B R E N D A	b ɹ ɛ n d ʌ
B R I C K E Y	b ɹ ɪ k i
B R I G H A M S	b ɹ ɪ ɡ ʌ m z
B R I N L E Y	b ɹ ɪ n l i
B R O O K S S	b ɹ ʊ k s
B R O W E R	b ɹ aʊ ɝ
B U C H I S	b ʌ tʃ i z
B U L L H O R N S	b ʊ l h ɔ ɹ n z
B U L L O C K	b ʊ l ʌ k
B U M P S	b ʌ m p s
B U R S T S	b ɝ s t s
B U T R O S	b u t ɹ ʌ s
B Y Z A N T I N E	b ɪ z ʌ n t i n
C A B A R E T	k æ b ɝ eɪ
C A B L E V I S I O N S	k eɪ b ʌ l v ɪ ʒ ʌ n z
C A E S A R S	s i z ɝ z
C A L T A G I R O N E	k ɑ l t ɑ dʒ ɪ ɹ oʊ n i
C A L V E R A S	k æ l v ɛ ɹ ʌ s
C A M B E X	k æ m b ʌ k s
C A N T O N E	k ɑ n t oʊ n i
C A N T O R E	k æ n t ɔ ɹ
C A P A C I T Y	k ʌ p æ s ʌ t i
C A R D O O N	k ɑ ɹ d u n
C A R D S	k ɑ ɹ d z
C A R I N G	k ɛ ɹ ɪ ŋ
C A R N	k ɑ ɹ n
C A R N I N E	k ɑ ɹ n i n i
C A S H I E R S	k æ ʃ ɪ ɹ z
C A T A I N	k æ t ɛ n
C A V E Y	k eɪ v i
C E A S E D	s i s t
C E L L A	s ɛ l ʌ
C E N S O R S H I P	s ɛ n s ɝ ʃ ɪ p
C E N T E N O	tʃ ɛ n t ɛ n oʊ
C E R T A I N T Y	s ɝ t ʌ n t i
C E R V E R A	tʃ ɝ v ɛ ɹ ʌ
C H A I K E N	tʃ eɪ k ʌ n
C H A I N I N G	tʃ eɪ n ɪ ŋ
C H A P M A N	tʃ æ p m ʌ n
C H A R A C T E R I S T I C A L L Y	k ɛ ɹ ɪ k t ɝ ɪ s t ɪ k l i
C H A U F F E U R S	ʃ oʊ f ɝ z
C H E R R Y S	tʃ ɛ ɹ i z
C H E R U B S	tʃ ɛ ɹ ʌ b z
C H E S H I R E	tʃ ɛ ʃ ɝ
C H E S S B O A R D S	tʃ ɛ s b ɔ ɹ d z
C H I A P P E T T A	k i ɑ p ɛ t ʌ
C H I F F R E	ʃ i f ɹ ʌ
C H I L D L I K E	tʃ aɪ l d l aɪ k
C H I S A M	tʃ ɪ s ʌ m
C H I S E L E D	tʃ ɪ z ʌ l d
C H I T W O O D	tʃ ɪ t w ʊ d
C H O K E	tʃ oʊ k
C H U R C H M A N	tʃ ɝ tʃ m ʌ n
C H U R C H W E L L	tʃ ɝ tʃ w ɛ l
C L A S H I N G	k l æ ʃ ɪ ŋ
C L A S S M A N	k l æ s m ʌ n
C L A Y B O R N E	k l eɪ b ɝ n
C L E R K S	k l ɝ k s
C L O S E U P	k l oʊ s ʌ p
C O C C O	k oʊ k oʊ
C O G E N E R A T O R	k oʊ dʒ ɛ n ɝ eɪ t ɝ
C O K L E Y	k ɑ k l i
C O L L A R B O N E	k ɑ l ɝ b oʊ n
C O L L E V I L L E	k oʊ l v ɪ l
C O L L I D E	k ʌ l aɪ d
C O L L I N S O N	k ɑ l ɪ n s ʌ n
C O M F O R T E R S	k ʌ m f ɝ t ɝ z
C O M M O N L Y	k ɑ m ʌ n l i
C O M O	k oʊ m oʊ
C O N C E N T R A T E S	k ɑ n s ʌ n t ɹ eɪ t s
C O N C E P C I O N	k ʌ n s ɛ p s i oʊ n
C O N D E N S E D	k ʌ n d ɛ n s t
C O N Q U E R	k ɑ ŋ k ɝ
C O N S E C R A T E	k ɑ n s ʌ k ɹ eɪ t
C O N T I N E N T A L L Y	k ɑ n t ʌ n ɛ n t ʌ l i
C O R T E S	k ɔ ɹ t ɛ z
C O S P E R	k ɑ s p ɝ
C O S T E D	k ɑ s t ɪ d
C O U C H E D	k aʊ tʃ t
C O U N T E R T R A D E	k aʊ n t ɝ t ɹ eɪ d
C O U N T E S S	k aʊ n t ʌ s
C R A B B	k ɹ æ b
C R O S T O N	k ɹ ɑ s t ʌ n
C R U I S I N G	k ɹ u z ɪ ŋ
C R U M B Y	k ɹ ʌ m b i
C R U T H I R D S	k ɹ ʌ θ ɝ d z
C S P I	s i ɛ s p i aɪ
C U L B E R T	k ʌ l b ɝ t
C U P I D I T Y	k j u p ɪ d ɪ t i
C U R R E N C I E S	k ɝ ɛ n s i z
C Y P R I S	s aɪ p ɹ ɪ s
D A M B A C H E R	d æ m b ɑ k ɝ
D A N U B E	d æ n j u b
D A R R E L L	d ɛ ɹ ʌ l
D A U M	d ɔ m
D A W N S	d ɔ n z
D A Y T O N A	d eɪ t oʊ n ʌ
D E A R I N G	d ɪ ɹ ɪ ŋ
D E C O O K	d ɛ k ʊ k
D E D E C K E R	d ɛ d ɪ k ɝ
D E H L E R	d ɛ l ɝ
D E I O N	d i ɑ n
D E J O N G H	d ʌ dʒ ɔ ŋ
D E K A Y	d ʌ k eɪ
D E L I B E R A T E L Y	d ɪ l ɪ b ɹ ʌ t l i
D E L I S T	d i l ɪ s t
D E L O R I A	d ɛ l ɔ ɹ i ʌ
D E M A R I O	d ɪ m ɑ ɹ i oʊ
D E M B O W S K I	d ɪ m b ɔ f s k i
D E M O G R A P H E R S	d ɪ m ɑ ɡ ɹ ʌ f ɝ z
D E M O R A L I Z E	d ɪ m ɔ ɹ ʌ l aɪ z
D E M Y S T I F Y	d i m ɪ s t ʌ f aɪ
D E N M O N	d ɛ n m ʌ n
D E N S M O R E	d i n s m ɔ ɹ
D E R	d ɝ
D E R E N	d ɪ ɹ ʌ n
D E T E C T I N G	d ɪ t ɛ k t ɪ ŋ
D E T E R M I N E D L Y	d ʌ t ɝ m ʌ n d l i
D E U T S C H E	d ɔɪ tʃ
D I E T I T I A N S	d aɪ ʌ t ɪ ʃ ʌ n z
D I F F E R E N T I A T E D	d ɪ f ɝ ɛ n tʃ i eɪ t ʌ d
D I G I T I Z E	d ɪ dʒ ʌ t aɪ z
D I N G L E	d ɪ ŋ ɡ ʌ l
D I O X I D E S	d aɪ ɑ k s aɪ d z
D I R E C T O R I E S	d i ɹ ɛ k t ɝ i z
D I S A V O W	d ɪ s ʌ v aʊ
D I S C O V E R Y	d ɪ s k ʌ v ɹ i
D I S H M A N	d ɪ ʃ m ʌ n
D I S S E C T I O N S	d aɪ s ɛ k ʃ ʌ n z
D I S T R I B U T E S	d ɪ s t ɹ ɪ b j u t s
D I T T O	d ɪ t oʊ
D I V I N G	d aɪ v ɪ ŋ
D O C U M E N T E D	d ɑ k j u m ɛ n t ʌ d
D O R A L I N	d ɔ ɹ ɑ l i n
D O R E	d ɔ ɹ
D O S S E Y	d ɑ s i
D O U B T	d aʊ t
D O V E R	d oʊ v ɝ
D R E I B E L B I S	d ɹ aɪ b ɪ l b ɪ s
D R E S N E R	d ɹ ɛ z n ɝ
D R O P O F F	d ɹ ɑ p ɔ f
D R U M M I N G	d ɹ ʌ m ɪ ŋ
D U F F I N	d ʌ f ɪ n
D U N G E O N	d ʌ n dʒ ʌ n
D U P L I C A T I V E	d u p l ɪ k ʌ t ɪ v
E C C E N T R I C S	ɛ k s ɛ n t ɹ ɪ k s
E C K E R	ɛ k ɝ
E C O N O M I C	ɛ k ʌ n ɑ m ɪ k
E C R U	ɛ k ɹ u
E D I T O R S H I P	ɛ d ʌ t ɝ ʃ ɪ p
E G G E R S	ɛ ɡ ɝ z
E H M A N N	ɛ m ʌ n
E I C H H O R N	aɪ k h ɝ n
E I N S P A H R	aɪ n s p ɑ ɹ
E I S E N H O U R	aɪ z ʌ n aʊ ɹ
E L E K T R I S K	ɪ l ɛ k t ɹ ɪ s k
E L Z A	ɛ l z ʌ
E M E R S O N	ɛ m ɝ s ʌ n
E M I N E N T L Y	ɛ m ʌ n ʌ n t l i
E M P E R O R S	ɛ m p ɝ ɝ z
E N A M O R I N G	ɛ n æ m ɝ ɪ ŋ
E N C A S E D	ɛ n k eɪ s t
E N C O M P A S S	ɛ n k ʌ m p ʌ s
E N C Y C L O P A E D I A	ɪ n s aɪ k l oʊ p i d i ʌ
E N D P O I N T	ɛ n d p ɔɪ n t
E N G E R T	ɛ ŋ ɡ ɝ t
E N G L E W O O D	ɛ ŋ ɡ ʌ l w ʊ d
E N G L U N D	ɪ ŋ l ʌ n d
E N O R M O U S L Y	i n ɔ ɹ m ʌ s l i
E N S H R I N E	ɛ n ʃ ɹ aɪ n
E N T R A P	ɪ n t ɹ æ p
E P I S T O L A R Y	ɪ p ɪ s t ʌ l ɛ ɹ i
E P P L E Y	ɛ p l i
E Q U I P M E N T S	ɪ k w ɪ p m ʌ n t s
E Q U I T Y S	ɛ k w ʌ t i z
E Q U I V A L E N T	ɪ k w ɪ v ʌ l ʌ n t
E R I S A	ɛ ɹ i s ʌ
E R L E R	ɝ l ɝ
E R M A	ɝ m ʌ
E S C A L A T E D	ɛ s k ʌ l eɪ t ɪ d
E S C O R T I N G	ɛ s k ɔ ɹ t ɪ ŋ
E S C O R T S	ɛ s k ɔ ɹ t s
E V A N O V	ɛ v ʌ n ɔ v
E V I C T I N G	ɪ v ɪ k t ɪ ŋ
E W T O N	j u t ʌ n
E X H A U S T I V E	ɪ ɡ z ɔ s t ɪ v
E X P E N D I T U R E S	ɪ k s p ɛ n d ʌ tʃ ɝ z
F A B R I C A T E D	f æ b ɹ ɪ k eɪ t ʌ d
F A I R A L L	f ɛ ɹ ɔ l
F A I R G R O U N D	f ɛ ɹ ɡ ɹ aʊ n d
F A I R Y L A N D	f ɛ ɹ i l æ n d
F A M I N E S	f æ m ʌ n z
F A N E	f eɪ n
F A R L E Y	f ɑ ɹ l i
F A U S	f ɔ z
F A U S T I N E	f aʊ s t i n
F E D E R A L I S M	f ɛ d ɹ ʌ l ɪ z ʌ m
F E D E R A L I Z E D	f ɛ d ɝ ʌ l aɪ z d
F E D E R A L I Z I N G	f ɛ d ɹ ʌ l aɪ z ɪ ŋ
F E E D L O T S	f i d l ɑ t s
F E I N B E R G	f aɪ n b ɝ ɡ
F E R D	f ɝ d
F E R V E N T L Y	f ɝ v ʌ n t l i
F E S T I V A L	f ɛ s t ɪ v ʌ l
F E T T I G	f ɛ t ɪ ɡ
F I N I G A N	f ɪ n ɪ ɡ ʌ n
F I R E F I G H T E R	f aɪ ɹ f aɪ t ɝ
F I S C H	f ɪ ʃ
F L A U N T	f l ɔ n t
F L I R T	f l ɝ t
F L I R T I N G	f l ɝ t ɪ ŋ
F L O A T E R	f l oʊ t ɝ
F O C A C C I A	f oʊ k ɑ tʃ i ʌ
F O G E L S O N	f oʊ ɡ ʌ l s ʌ n
F O I S T E R	f ɔɪ s t ɝ
F O R M A L D E H Y D E	f ɔ ɹ m æ l d ʌ h aɪ d
F R A N K I E	f ɹ æ ŋ k i
F R E D E R I C K S	f ɹ ɛ d ɝ ɪ k s
F R E D R I C H	f ɹ ɛ d ɹ ɪ k
F R I E S E N	f ɹ i s ʌ n
F U J I K A W A	f u dʒ i k ɑ w ʌ
F U J I T S U S	f u dʒ ɪ t s u z
F U K L A H S	f u k l ʌ z
F U L F I L L I N G	f ʊ l f ɪ l ɪ ŋ
F U N D A M E N T A L I S T S	f ʌ n d ʌ m ɛ n ʌ l ɪ s
F U N N E L I N G	f ʌ n ʌ l ɪ ŋ
F U R R	f ɝ
F U R R I E R	f ɝ i ɝ
G A B A Y	ɡ æ b eɪ
G A I N O R	ɡ eɪ n ɝ
G A L	ɡ æ l
G A L L E R	ɡ ɔ l ɝ
G A M I N G S	ɡ eɪ m ɪ ŋ z
G A R A R D	ɡ ɝ ɑ ɹ d
G A R B L E D	ɡ ɑ ɹ b ʌ l d
G A R I B A L D I	ɡ æ ɹ ʌ b ɔ l d i
G A R R O N S	ɡ ɛ ɹ ʌ n z
G A U G E S	ɡ eɪ dʒ ʌ z
G A U N T L E T	ɡ ɔ n t l ʌ t
G A U S S	ɡ aʊ s
G A Y T A N	ɡ eɪ t ʌ n
G E I K E N	ɡ aɪ k ʌ n
G E M C O	dʒ ɛ m k oʊ
G E M C R A F T	dʒ ɛ m k ɹ æ f t
G E N N A D I	dʒ ɛ n ɑ d i
G E N T H N E R	dʒ ɛ n θ n ɝ
G H A N A S	ɡ æ n ʌ z
G I G A N T E	dʒ i ɡ ɑ n t i
G I O V A N N I E L L O	dʒ oʊ v ɑ n i ɛ l oʊ
G I V A N	ɡ ɪ v ʌ n
G L E A S O N S	ɡ l i s ʌ n z
G L E G H O R N	ɡ l ɛ ɡ h ɝ n
G L O C E S T E R	ɡ l aʊ s t ɝ
G L O R I F Y	ɡ l ɔ ɹ ʌ f aɪ
G L U C O S E	ɡ l u k oʊ s
G O E L L N E R	ɡ oʊ l n ɝ
G O E M A N	ɡ oʊ m ʌ n
G O L E M B E S K I	ɡ ʌ l ɪ m b ɛ s k i
G O T C H A	ɡ ɑ tʃ ʌ
G O V E R N O R S H I P S	ɡ ʌ v ɝ n ɝ ʃ ɪ p s
G R A B E R	ɡ ɹ eɪ b ɝ
G R A T E S	ɡ ɹ eɪ t s
G R A T Z E R	ɡ ɹ eɪ t z ɝ
G R A V E S	ɡ ɹ eɪ v z
G R A V I T A T I O N A L L Y	ɡ ɹ æ v ʌ t eɪ ʃ n ʌ l i
G R E E N L A W	ɡ ɹ i n l ɔ
G R I M A C E D	ɡ ɹ ɪ m ʌ s t
G R I N D S T O N E	ɡ ɹ aɪ n d s t oʊ n
G R I S M E R	ɡ ɹ ɪ s m ɝ
G R O P P	ɡ ɹ ɑ p
G R U B E R O V A	ɡ ɹ u b ɛ ɹ oʊ v ʌ
G U B A	ɡ u b ʌ
G U Z Z L I N G	ɡ ʌ z l ɪ ŋ
G W Y N E T H S	ɡ w ɪ n ʌ θ s
H A C K S T A F F	h æ k s t æ f
H A F N I U M	h æ f n i ʌ m
H A G E W O O D	h eɪ dʒ w ʊ d
H A L L W A Y	h ɔ l w eɪ
H A M M E R M E I S T E R	h æ m ɝ m aɪ s t ɝ
H A N D L E R S	h æ n d ʌ l ɝ z
H A N D O U T S	h æ n d aʊ t s
H A N N I S	h æ n ɪ s
H A N S H I N	h æ n ʃ ɪ n
H A R D W A R E	h ɑ ɹ d w ɛ ɹ
H A R D W O R K I N G	h ɑ ɹ d w ɝ k ɪ ŋ
H A R E W O O D	h ɛ ɹ w ʊ d
H A R T Z	h ɑ ɹ t s
H A R V E S T A B L E	h ɑ ɹ v ʌ s t ʌ b ʌ l
H A S H I S H	h æ ʃ i ʃ
H A S S A N	h ʌ s ɑ n
H A S T E N S	h eɪ s ʌ n z
H A V I L L A N D	h æ v ʌ l ʌ n d
H A Y S T A C K S	h eɪ s t æ k s
H A Z L E	h eɪ z ʌ l
H E A L T H I N E S S	h ɛ l θ i n ʌ s
H E D I G E R	h ɛ d ɪ ɡ ɝ
H E E D I N G	h i d ɪ ŋ
H E E G	h i ɡ
H E M L E R	h ɛ m l ɝ
H E R M E S	h ɝ m i z
H I D Y	h aɪ d i
H I L D E G A R D	h ɪ l d ʌ ɡ ɑ ɹ d
H I N G I S	h ɪ ŋ ɡ ʌ s
H L A D	h l æ d
H O L S T	h oʊ l s t
H O M E S T R E T C H	h oʊ m s t ɹ ɛ tʃ
H O N O R I A	ɑ n ɝ i ʌ
H O R D E	h ɔ ɹ d
H O R N L E S S	h ɔ ɹ n l ʌ s
H O R S E H E A D	h ɔ ɹ s h ɛ d
H O S I N G	h oʊ z ɪ ŋ
H O U G H T A L I N G	h ɔ t ʌ l ɪ ŋ
H O W E R Y	h aʊ ɝ i
H R U B Y	h ɹ u b i
H U C K E R	h ʌ k ɝ
H U F F E D	h ʌ f t
H U I B R E G T S E	h u b ɹ ɛ k t s
H U R D L I N G	h ɝ d l ɪ ŋ
H Y D R A T E	h aɪ d ɹ eɪ t
H Y N E S	h aɪ n z
H Y P E R I N F L A T I O N	h aɪ p ɝ ɪ n f l eɪ ʃ ʌ n
I C K E S	aɪ k s
I C O N O C L A S M	aɪ k ɑ n ʌ k l æ z ʌ m
I D E	aɪ d
I D E A L I S M	aɪ d i l ɪ z ʌ m
I L Y A R O N O F F	ɪ l j ɑ ɹ ɔ n ɔ f
I M M U N O M E D I C	ɪ m j u n oʊ m ɛ d ɪ k
I M P E L L E D	ɪ m p ɛ l d
I M P L O D E S	ɪ m p l oʊ d z
I M P O S I T I O N	ɪ m p ʌ z ɪ ʃ ʌ n
I M P R O V I S E S	ɪ m p ɹ ʌ v aɪ z ʌ z
I N C O R R I G I B L E	ɪ n k ɑ ɹ ʌ dʒ ʌ b ʌ l
I N C U M B E N T S	ɪ n k ʌ m b ʌ n t s
I N D U L G E D	ɪ n d ʌ l dʒ d
I N F I N I T U M	ɪ n f ɪ n ɪ t ʌ m
I N H E R I T A N C E	ɪ n h ɛ ɹ ʌ t ʌ n s
I N Q U I S I T O R	ɪ n k w ɪ z ʌ t ɝ
I N T E R F E R E N C E	ɪ n ɝ f ɪ ɹ ʌ n s
I N T E R M E D I A T E S	ɪ n ɝ m i d i ʌ t s
I N T E R R O G A T O R	ɪ n t ɛ ɹ ʌ ɡ eɪ t ɝ
I N T E R V I E W S	ɪ n t ɝ v j u z
I N T I S	ɪ n t ɪ s
I N V E S T I G A T O R S	ɪ n v ɛ s t ʌ ɡ eɪ t ɝ z
I R I T	aɪ ɑ ɹ aɪ t i
I W A T A	i w ɑ t ɑ
J A N S S O N	dʒ æ n s ʌ n
J E A N E S	dʒ i n z
J E K E L	dʒ ɛ k ʌ l
J E N N E Y	dʒ ɛ n i
J E S P E R S O N	dʒ ɛ s p ɝ s ʌ n
J E W R Y	dʒ u ɹ i
J O B S	dʒ ɑ b z
J O H	dʒ oʊ
J O I N S	dʒ ɔɪ n z
J O Y N E S	dʒ ɔɪ n z
J U L I A N N E	dʒ u l i ɛ n
J U N K I E	dʒ ʌ ŋ k i
K A N D A	k æ n d ʌ
K A S L E R	k æ s ʌ l ɝ
K A T S	k æ t s
K A U C H E R	k aʊ k ɝ
K E A R S E	k ɝ s
K E M N E R	k ɛ m n ɝ
K E N N Y S	k ɛ n i z
K E V A N	k ɛ v ʌ n
K I	k i
K I M L E R	k ɪ m ʌ l ɝ
K I N G D O N	k ɪ ŋ d ʌ n
K I P E R	k aɪ p ɝ
K I T O W S K I	k ɪ t ɔ f s k i
K L A P P E R I C H	k l æ p ɝ ɪ k
K L E I N S A S S E R	k l aɪ n s ʌ s ɝ
K L E R K	k l ɝ k
K L E V E	k l i v
K L O C K E	k l ɑ k
K N I E F	n i f
K N I P P L E	n ɪ p ʌ l
K N I T T E D	n ɪ t ɪ d
K N O B	n ɑ b
K O B L E	k oʊ b ʌ l
K O C I E M B A	k oʊ s i ɛ m b ʌ
K O E R N E R	k ɔ ɹ n ɝ
K O H L E R	k oʊ l ɝ
K O O S	k u z
K O R E A G A T E	k ɔ ɹ i ʌ ɡ eɪ t
K O S L O W	k ɑ s l oʊ
K O S T E C K I	k ʌ s t ɛ t s k i
K O T E C K I	k ʌ t ɛ t s k i
K R A P E L S	k ɹ æ p ʌ l z
K R I N G	k ɹ ɪ ŋ
K R U G	k ɹ ʌ ɡ
K R U G E R R A N D	k ɹ u ɡ ɛ ɹ æ n d
K R U S Z Y N S K I	k ɹ ʌ ʃ ɪ n s k i
K U N E Y	k j u n i
K U P R E S	k u p ɹ ʌ s
L A B I N E	l ɑ b i n i
L A C O S S	l ʌ k ɑ s
L A D I N G	l eɪ d ɪ ŋ
L A D W I G	l æ d w ɪ ɡ
L A H I F F	l æ h ɪ f
L A M B A S T E S	l æ m b æ s t s
L A N D O V E R	l æ n d oʊ v ɝ
L A N E T E	l ʌ n i t
L A P S L E Y	l æ p s l i
L A S H O M B	l æ ʃ ʌ m
L A T H O U R I S	l ʌ θ u ɹ ɪ s
L A Z I E R	l eɪ z i ɝ
L E A N	l i n
L E I C H N E R	l aɪ k n ɝ
L E I N O	l eɪ i n oʊ
L E I S U R E	l i ʒ ɝ
L E P I S T O	l ɛ p i s t oʊ
L I E U	l j u
L I G N I N	l ɪ ɡ n ɪ n
L I K I N S	l ɪ k ɪ n z
L I M P E R T	l ɪ m p ɝ t
L I N D S E Y	l ɪ n d z i
L I O N S	l aɪ ʌ n z
L I P T O N	l ɪ p t ʌ n
L I S T E N	l ɪ s ʌ n
L O C U R T O	l oʊ k ʊ ɹ t oʊ
L O N G S T R E T H	l ɑ ŋ s t ɹ ɛ θ
L O P A T A	l oʊ p ɑ t ʌ
L O U G H R I D G E	l aʊ ɹ ɪ dʒ
L O U I S A	l u i z ʌ
L O V E G R O V E	l ʌ v ɡ ɹ oʊ v
L O V E T T	l ʌ v ɪ t
L O W	l oʊ
L U C I A	l u ʃ ʌ
L U G S	l ʌ ɡ z
L U L L I N G	l ʌ l ɪ ŋ
L U N C H E O N	l ʌ n tʃ ʌ n
L U N D Y	l ʌ n d i
L U N G E S	l ʌ n dʒ ɪ z
L Y T L E	l aɪ t ʌ l
L Y V E R S	l aɪ v ɝ z
M A B	m æ b
M A C R A E	m ʌ k ɹ eɪ
M A H M O U D	m æ m u d
M A H O N	m eɪ ʌ n
M A I O R A N O	m aɪ ɔ ɹ ɑ n oʊ
M A J K A	m aɪ k ʌ
M A L F U N C T I O N I N G	m æ l f ʌ ŋ k ʃ ʌ n ɪ ŋ
M A N A G E R	m æ n ʌ dʒ ɝ
M A N C I L L A	m æ n s ɪ l ʌ
M A N D A L A	m ɑ d ʌ l ʌ
M A N I A	m eɪ n i ʌ
M A N I A C A L	m ʌ n aɪ ʌ k ʌ l
M A R I B E L	m ɑ ɹ ɪ b ɛ l
M A R M A L A D E	m ɑ ɹ m ʌ l eɪ d
M A R T I R O S O V	m ɑ ɹ t ɪ ɹ ʌ s ɑ v
M A R V I N S	m ɑ ɹ v ɪ n z
M A S S O	m æ s oʊ
M A S T R O N A R D I	m æ s t ɹ oʊ n ɑ ɹ d i
M A T T O S	m æ t oʊ z
M A U S O L F	m aʊ s oʊ l f
M A Y A N S	m aɪ ʌ n z
M A Z D A	m ɑ z d ʌ
M A Z Y C K	m æ z ɪ k
M C C O N E	m ʌ k oʊ n
M C C O N N E L L S	m ʌ k ɑ n ʌ l z
M C C O Y	m ʌ k ɔɪ
M C C R O R Y	m ʌ k ɹ ɔ ɹ i
M C C U I S T I O N	m ʌ k w ɪ ʃ ʌ n
M C C U L L E R S	m ʌ k ʌ l ɝ z
M C G R E G O R	m ʌ ɡ ɹ ɛ ɡ ɝ
